YEAR,QUARTER,ID,Nowcast,Forecast
1970,4,159,#N/A,#N/A
1970,4,161,#N/A,#N/A
1970,4,162,#N/A,#N/A
1970,4,163,#N/A,#N/A
1970,4,164,#N/A,#N/A
1970,4,165,#N/A,#N/A
1970,4,166,#N/A,#N/A
1970,4,167,#N/A,#N/A
1970,4,168,#N/A,#N/A
1970,4,169,#N/A,#N/A
1970,4,170,#N/A,#N/A
1970,4,171,#N/A,#N/A
1970,4,172,#N/A,#N/A
1970,4,173,#N/A,#N/A
1970,4,174,#N/A,#N/A
1970,4,175,#N/A,#N/A
1970,4,176,#N/A,#N/A
1970,4,177,#N/A,#N/A
1970,4,178,#N/A,#N/A
1970,4,179,#N/A,#N/A
1970,4,180,#N/A,#N/A
1970,4,181,#N/A,#N/A
1970,4,182,#N/A,#N/A
1970,4,183,#N/A,#N/A
1970,4,184,#N/A,#N/A
1970,4,185,#N/A,#N/A
1970,4,186,#N/A,#N/A
1970,4,187,#N/A,#N/A
1970,4,188,#N/A,#N/A
1970,4,189,#N/A,#N/A
1970,4,190,#N/A,#N/A
1970,4,191,#N/A,#N/A
1970,4,192,#N/A,#N/A
1970,4,193,#N/A,#N/A
1970,4,194,#N/A,#N/A
1970,4,195,#N/A,#N/A
1970,4,196,#N/A,#N/A
1970,4,197,#N/A,#N/A
1970,4,198,#N/A,#N/A
1971,1,1,48.00,49.50
1971,1,4,#N/A,#N/A
1971,1,7,47.00,48.00
1971,1,14,45.00,47.50
1971,1,15,47.20,49.20
1971,1,18,48.00,49.00
1971,1,21,46.00,46.50
1971,1,23,#N/A,#N/A
1971,1,26,45.50,46.50
1971,1,28,45.00,44.60
1971,1,31,43.00,45.00
1971,1,32,46.50,48.50
1971,1,34,45.00,46.00
1971,1,38,#N/A,#N/A
1971,1,39,43.60,45.50
1971,1,40,#N/A,#N/A
1971,1,42,#N/A,#N/A
1971,1,44,45.50,47.50
1971,1,46,47.00,51.00
1971,1,48,44.00,44.00
1971,1,49,45.60,48.20
1971,1,50,47.00,48.00
1971,1,51,46.20,48.30
1971,1,52,48.00,49.00
1971,1,54,47.20,49.60
1971,1,55,47.20,49.00
1971,1,58,45.80,47.10
1971,1,61,46.40,49.10
1971,1,64,45.00,45.00
1971,1,69,42.50,46.00
1971,1,70,46.50,47.50
1971,1,72,46.40,48.50
1971,1,73,47.00,49.00
1971,1,75,45.00,45.00
1971,1,77,43.00,44.00
1971,1,78,45.90,47.80
1971,1,81,46.00,49.00
1971,1,82,45.00,46.00
1971,1,83,46.50,48.00
1971,1,85,47.30,48.70
1971,1,86,46.00,47.50
1971,1,92,#N/A,#N/A
1971,1,95,47.00,49.00
1971,1,98,46.30,47.50
1971,1,103,46.50,48.00
1971,1,104,47.90,50.40
1971,1,110,48.00,48.70
1971,1,119,#N/A,#N/A
1971,1,121,46.50,48.00
1971,1,125,#N/A,#N/A
1971,1,130,#N/A,#N/A
1971,1,133,#N/A,#N/A
1971,1,134,47.50,49.00
1971,1,136,47.50,50.00
1971,1,138,47.00,48.00
1971,1,144,#N/A,#N/A
1971,2,1,51.50,51.50
1971,2,3,#N/A,#N/A
1971,2,4,47.10,44.30
1971,2,7,#N/A,#N/A
1971,2,10,46.70,47.80
1971,2,14,49.30,50.20
1971,2,15,49.40,48.40
1971,2,16,46.00,47.50
1971,2,18,46.00,48.10
1971,2,21,47.00,47.50
1971,2,22,46.00,47.00
1971,2,23,50.30,51.60
1971,2,27,#N/A,#N/A
1971,2,31,50.00,52.00
1971,2,32,48.00,50.00
1971,2,34,50.00,50.00
1971,2,38,#N/A,#N/A
1971,2,39,43.00,44.00
1971,2,40,#N/A,#N/A
1971,2,43,42.00,44.00
1971,2,44,48.60,48.60
1971,2,48,44.00,45.00
1971,2,49,47.20,45.60
1971,2,50,47.00,44.00
1971,2,51,46.00,44.50
1971,2,52,47.00,48.00
1971,2,54,48.40,50.80
1971,2,55,47.90,49.90
1971,2,57,47.00,48.00
1971,2,58,49.20,49.10
1971,2,60,44.00,45.00
1971,2,61,49.00,48.50
1971,2,64,48.50,48.00
1971,2,65,47.60,44.60
1971,2,70,48.80,45.80
1971,2,72,46.00,44.50
1971,2,73,48.00,49.00
1971,2,75,44.60,46.00
1971,2,77,44.30,45.80
1971,2,78,49.00,48.00
1971,2,81,47.50,44.50
1971,2,82,47.00,48.00
1971,2,85,52.70,53.50
1971,2,86,48.00,48.50
1971,2,88,47.40,41.40
1971,2,89,#N/A,#N/A
1971,2,91,48.00,50.00
1971,2,98,46.00,48.00
1971,2,103,48.00,49.00
1971,2,110,48.70,49.00
1971,2,111,41.50,41.90
1971,2,121,48.00,48.00
1971,2,129,48.20,51.60
1971,2,133,48.80,46.00
1971,2,134,45.50,47.10
1971,2,136,54.00,53.50
1971,2,141,48.60,49.10
1971,2,144,46.50,47.00
1971,2,188,#N/A,#N/A
1971,3,1,46.00,50.00
1971,3,3,47.50,49.00
1971,3,4,45.40,46.20
1971,3,7,#N/A,#N/A
1971,3,10,47.00,49.00
1971,3,15,49.00,51.00
1971,3,18,50.80,52.10
1971,3,21,48.50,49.50
1971,3,22,46.00,47.00
1971,3,23,48.50,51.00
1971,3,26,45.60,46.70
1971,3,27,51.00,56.60
1971,3,28,46.20,46.80
1971,3,31,53.00,54.00
1971,3,32,49.00,50.00
1971,3,34,48.00,50.00
1971,3,38,#N/A,#N/A
1971,3,39,48.00,51.00
1971,3,40,#N/A,#N/A
1971,3,43,55.00,60.00
1971,3,44,47.90,49.60
1971,3,46,49.00,50.00
1971,3,48,47.00,47.50
1971,3,50,47.50,49.50
1971,3,51,47.80,50.40
1971,3,54,48.00,50.00
1971,3,56,50.70,50.70
1971,3,57,47.50,48.50
1971,3,59,49.50,51.00
1971,3,60,47.00,49.00
1971,3,61,50.90,52.50
1971,3,64,49.00,51.50
1971,3,66,47.00,49.00
1971,3,69,47.00,47.50
1971,3,70,47.70,49.70
1971,3,72,47.80,50.40
1971,3,73,46.00,50.00
1971,3,77,45.50,45.80
1971,3,78,50.30,51.60
1971,3,81,47.80,49.00
1971,3,82,#N/A,#N/A
1971,3,84,47.00,48.00
1971,3,86,47.00,49.00
1971,3,87,#N/A,#N/A
1971,3,88,46.90,50.20
1971,3,89,47.40,48.80
1971,3,92,47.50,48.50
1971,3,98,47.30,48.80
1971,3,101,#N/A,#N/A
1971,3,104,50.00,52.00
1971,3,106,51.00,54.50
1971,3,108,45.30,45.50
1971,3,109,49.00,50.00
1971,3,111,#N/A,#N/A
1971,3,112,52.00,54.00
1971,3,115,47.00,48.00
1971,3,117,47.30,48.70
1971,3,118,45.00,46.00
1971,3,119,#N/A,#N/A
1971,3,121,48.00,50.50
1971,3,123,47.00,48.10
1971,3,125,51.00,52.00
1971,3,126,48.00,49.00
1971,3,127,49.00,50.00
1971,3,129,43.70,45.80
1971,3,131,38.00,41.00
1971,3,133,56.00,61.00
1971,3,134,46.90,50.40
1971,3,135,46.90,48.90
1971,3,136,52.00,58.10
1971,3,138,48.00,49.00
1971,3,142,45.40,46.80
1971,3,144,46.00,47.00
1971,3,145,61.60,68.90
1971,3,146,#N/A,#N/A
1971,3,148,45.50,38.00
1971,3,150,#N/A,#N/A
1971,3,151,#N/A,#N/A
1971,3,152,#N/A,#N/A
1971,3,153,#N/A,#N/A
1971,3,154,#N/A,#N/A
1971,3,155,#N/A,#N/A
1971,3,156,#N/A,#N/A
1971,3,157,#N/A,#N/A
1971,3,158,#N/A,#N/A
1971,3,159,#N/A,#N/A
1971,3,160,#N/A,#N/A
